product_type,component_sku,component_name,component_role,notes
PTO 3.5g,JAR-PTO,Cylinder Jar - PTO 3.5g,jar,
PTO 3.5g,PTO-3.5G-MASTERCASE,Master Case - PTO 3.5g,master_case,
Dope St. 14g,White Plastic Jar with CR LId,Dope St 14g - White Plastic Jar with CR Lid,jar,
High Five 5g,22-CLR-BLK-5OZ-CR,Glass Jar -  Jar w/ Black Lid 22-CLR-BLK-5OZ-CR,jar,multiple options for this role - keep the current one
High Five 5g,GLASSJAR-BLACKCAP,Glass Jar - Black Caps 5oz,jar,multiple options for this role - keep the current one
High Five 5g,H5-5G-MASTERCASE,Master Case - High Five 5g,master_case,
High Five 5g,CAPS_WHITE,White Caps 50mm,cap,
Black Label Platinum 3.5g,GJCR2-BJ,Glass Jar - Matte Black 2oz and 50mm Cap,jar,
Black Label Platinum 3.5g,BLP-3.5G-MASTERCASE,Master Case - Black Label Platinum 3.5g,master_case,
Black Label 3.5g,MYL-BL-3.5G,Mylar - Haven Black Label 3.5g,mylar,
Black Label 3.5g,BL-3.5G-MASTERCASE,Master Case - Black Label 3.5g,master_case,
Block Party 28g,MYL-BP-28G,Mylar - Block Party 28g,mylar,
Block Party 28g,BP-28G-MASTERCASE,Master Case - Block Party 28g,master_case,
Block Party 7g,MYL-BP-7GN,Mylar - Block Party 7g,mylar,
Block Party 7g,BP-7G-MASTERCASE,Master Case - Block Party 7g,master_case,
Block Party Exotics 28g,MYL-BPE-28G,Mylar - Block Party Exotics 28g,mylar,
Block Party Exotics 28g,BPE-28G-MASTERCASE,Master Case - Block Party Exotics 28g,master_case,
Fat Stash 28g,MYL-FS-28G,Mylar - Fat Stash 28g,mylar,
Fat Stash 28g,FS-28G-MASTERCASE,Master Case - Fat Stash 28g,master_case,
Haven Hearts,HH-PR-MASTERCASE,Master Case - Haven Hearts Preroll Gravity Drop,master_case,
MikroDose 10g Hybrid,MYL-MD-OR-10G,Mylar - MikroDose Hybrid Blend 10g (Orange),mylar,
MikroDose 10g Hybrid,MD-10G-MASTERCASE,Master Case - Mikrodose 10g,master_case,
MikroDose 10g Indica,MYL-MD-BL-10G,Mylar - MikroDose Indica Blend 10g (Blue),mylar,
MikroDose 10g Indica,MD-10G-MASTERCASE,Master Case - Mikrodose 10g,master_case,
MikroDose 10g Sativa,MYL-MD-SM-10G,Mylar - MikroDose Sativa Blend 10g (Pink),mylar,
MikroDose 10g Sativa,MD-10G-MASTERCASE,Master Case - Mikrodose 10g,master_case,
Lil' Buzzies 7g,LB-7GSM-MASTERCASE,Master Case - Lil Buzzies 7g,master_case,
Roll & Ready 10g,MYL-R2R-PNK-10G,Mylar - Roll & Ready Infused 10g Infused (Pink),mylar,
Roll & Ready 10g,RR-10G-MASTERCASE,Master Case - Roll & Ready Infused 10g,master_case,
Roll & Ready 20g,MYL-R2R-BL-20G,Mylar - Roll & Ready Raw 20g (Blue),mylar,
Roll & Ready 20g,RR-20G-MASTERCASE,Master Case - Roll & Ready Raw 20g,master_case,
Haven 1g,MYL-BS--1G,Mylar - Bud Society 1g,mylar,
Cloud9ne 3.5g Hybrid,MYL- CLO9NE-3.5G,Mylar - Cloud9ne  3.5g (Hybrid),mylar,
Cloud9ne 3.5g Indica,MYL-CLO9NE-3.5G,Mylar - Cloud9ne  3.5g (Indica),mylar,
Cloud9ne 3.5g Sativa,MYL-CLO9NE- 3.5G,Mylar - Cloud9ne  3.5g (Sativa),mylar,
Formula Gummies Black Cherry / Focus,MYL-FA-BCY100,Mylar - Formula Gummies Black Cherry / Focus,mylar,
Formula Gummies Cloud Berry/Sleep,MYL-FA-CBY100,Mylar - Formula Gummies Cloud Berry/Sleep,mylar,
Formula Gummies Peach / Relax,MYL-FA-PCH100,Mylar - Formula Gummies Peach / Relax,mylar,
Formula Gummies Sour Apple / Awake,MYL-FA-SAP100,Mylar - Formula Gummies Sour Apple / Awake,mylar,
Formula Gummies Strawberry / Energy,MYL-FA-STB100,Mylar - Formula Gummies Strawberry / Energy,mylar,
Formula Gummies Watermelon/Chill,MYL-FA-WMC100,Mylar - Formula Gummies Watermelon/Chill,mylar,
Formula Gummies Wild Berry/Dream,MYL-FA-WBD100,Mylar - Formula Gummies Wild Berry/Dream,mylar,
Nuggies 20g,MYL-NUGG-20G,Mylar - Nuggies 20g,mylar,
,GJCR1T6-WCAP-PCR,CR Jar - Smooth Push and Turn Lid - White 50mm,jar,unassigned - set the product_type this belongs to
,GLASSJAR-5OZ,Glass Jar - No Cap 5oz,jar,unassigned - set the product_type this belongs to
