product_type,match_brand,match_size,match_variant,units_per_case,notes
PTO 3.5g,PTO,3.5g,,,
Dope St. 14g,Dope St.,14g,,,
High Five 5g,High Five,5g,,10,
Black Label Platinum 3.5g,Black Label Platinum,3.5g,,,
Black Label 3.5g,Black Label,3.5g,,,
Block Party 28g,Block Party,28g,,,
Block Party 7g,Block Party,7g,,,
Block Party Exotics 28g,Block Party Exotics,28g,,,
Fat Stash 28g,Fat Stash,28g,,,
Haven Hearts,Haven Hearts,,,,
MikroDose 10g Hybrid,MikroDose,10g,Hybrid,,
MikroDose 10g Indica,MikroDose,10g,Indica,,
MikroDose 10g Sativa,MikroDose,10g,Sativa,,
Lil' Buzzies 7g,Lil' Buzzies,7g,,,
Roll & Ready 10g,Roll & Ready,10g,,,
Roll & Ready 20g,Roll & Ready,20g,,,
Haven 1g,Haven,1g,,,
Cloud9ne 3.5g Hybrid,Cloud9ne,3.5g,Hybrid,,
Cloud9ne 3.5g Indica,Cloud9ne,3.5g,Indica,,
Cloud9ne 3.5g Sativa,Cloud9ne,3.5g,Sativa,,
Formula Gummies Black Cherry / Focus,Formula Gummies,,Black Cherry / Focus,,
Formula Gummies Cloud Berry/Sleep,Formula Gummies,,Cloud Berry/Sleep,,
Formula Gummies Peach / Relax,Formula Gummies,,Peach / Relax,,
Formula Gummies Sour Apple / Awake,Formula Gummies,,Sour Apple / Awake,,
Formula Gummies Strawberry / Energy,Formula Gummies,,Strawberry / Energy,,
Formula Gummies Watermelon/Chill,Formula Gummies,,Watermelon/Chill,,
Formula Gummies Wild Berry/Dream,Formula Gummies,,Wild Berry/Dream,,
Nuggies 20g,Nuggies,20g,,,
