distru_product,sku,haven_component,brand,pkg_type
Concentrate Jar W Lid  - Black Jack  1g,CONJAR-BJ,Concentrate Jar W Lid  - Black Jack  1g,Crashout,
Concentrate Jar W Lid  - Lemon Bars 1g,CONJAR-LB,Concentrate Jar W Lid  - Lemon Bars 1g,Crashout,
Concentrate Jar W Lid  - Now & Later 1g,CONJAR-NL,Concentrate Jar W Lid  - Now & Later 1g,Crashout,
Concentrate Jar W Lid  - Snow Cone 1g,CONJAR-SC,Concentrate Jar W Lid  - Snow Cone 1g,Crashout,
CR Jar - Smooth Push and Turn Lid - White 50mm,GJCR1T6-WCAP-PCR,CR Jar - Smooth Push and Turn Lid - White 50mm,,
Cylinder Jar - PTO 3.5g,JAR-PTO,Cylinder Jar - PTO 3.5g,PTO,Mylar Bag
Dope St 14g - White Plastic Jar with CR Lid,White Plastic Jar with CR LId,Dope St 14g - White Plastic Jar with CR Lid,Dope St.,
Glass Jar -  Jar w/ Black Lid 22-CLR-BLK-5OZ-CR,22-CLR-BLK-5OZ-CR,Glass Jar -  Jar w/ Black Lid 22-CLR-BLK-5OZ-CR,High Five,
Glass Jar - Black Caps 5oz,GLASSJAR-BLACKCAP,Glass Jar - Black Caps 5oz,High Five,Mylar Bag
Glass Jar - Matte Black 2oz and 50mm Cap,GJCR2-BJ,Glass Jar - Matte Black 2oz and 50mm Cap,Black Label Platinum,Mylar Bag
Glass Jar - No Cap 5oz,GLASSJAR-5OZ,Glass Jar - No Cap 5oz,Generic,
Master Case - Black Label 3.5g,BL-3.5G-MASTERCASE,Master Case - Black Label 3.5g,Dope St.,Master Case
Master Case - Black Label Platinum 3.5g,BLP-3.5G-MASTERCASE,Master Case - Black Label Platinum 3.5g,Black Label,Master Case
Master Case - Block Party 28g,BP-28G-MASTERCASE,Master Case - Block Party 28g,Block Party,Master Case
Master Case - Block Party 7g,BP-7G-MASTERCASE,Master Case - Block Party 7g,Block Party,Master Case
Master Case - Block Party Exotics 28g,BPE-28G-MASTERCASE,Master Case - Block Party Exotics 28g,Block Party,Master Case
Master Case - Fat Stash 28g,FS-28G-MASTERCASE,Master Case - Fat Stash 28g,Fat Stash,Master Case
Master Case - Haven Hearts Preroll Gravity Drop,HH-PR-MASTERCASE,Master Case - Haven Hearts Preroll Gravity Drop,Haven,Master Case
Master Case - High Five 5g (10/Case),H5-5G-MASTERCASE,Master Case - High Five 5g,High Five,Master Case
Master Case - Mikrodose 10g,MD-10G-MASTERCASE,Master Case - Mikrodose 10g,MikroDose,Master Case
Master Case - PTO 3.5g,PTO-3.5G-MASTERCASE,Master Case - PTO 3.5g,PTO,Master Case
Master Case - PTO Lil Buzzies 7g,LB-7GSM-MASTERCASE,Master Case - Lil Buzzies 7g,PTO,Master Case
Master Case - Roll & Ready Infused 10g,RR-10G-MASTERCASE,Master Case - Roll & Ready Infused 10g,Roll & Ready,Master Case
Master Case - Roll & Ready Raw 20g,RR-20G-MASTERCASE,Master Case - Roll & Ready Raw 20g,Roll & Ready,Master Case
